time,userid,id,lat,lng
Sat Feb 02 16:28:30 +0000 2019,581403546,1091735119679967232,40.12577,-82.93154
Fri Feb 01 13:38:02 +0000 2019,34936522,1091329831688638464,40.12,-82.92
Fri Feb 01 13:32:15 +0000 2019,34936522,1091328378458775554,40.12,-82.92
Fri Feb 01 13:08:01 +0000 2019,34936522,1091322279739437056,40.12,-82.92
Fri Feb 01 13:03:11 +0000 2019,581403546,1091321063357566976,40.12577,-82.93154
Fri Feb 01 10:29:39 +0000 2019,34936522,1091282422572957696,40.12,-82.92
Fri Feb 08 15:33:36 +0000 2019,802919623,1093895631280627712,40.03527778,-83.16805556
Thu Feb 07 14:50:38 +0000 2019,802919623,1093522428385521665,40.03527778,-83.16805556
Sun Feb 10 22:00:19 +0000 2019,117868720,1094717727464337408,39.8814519,-83.0929644
Sun Feb 10 18:20:11 +0000 2019,21196047,1094662327318634496,39.8814519,-83.0929644
Sun Feb 10 17:20:52 +0000 2019,118562908,1094647399774019584,39.8814519,-83.0929644
Sat Feb 09 20:01:49 +0000 2019,118562908,1094325516239175680,39.8814519,-83.0929644
Thu Feb 07 18:50:14 +0000 2019,23473569,1093582725313814529,39.8814519,-83.0929644
Wed Feb 06 23:16:12 +0000 2019,23473569,1093287271804035072,39.8814519,-83.0929644
Wed Feb 06 22:10:20 +0000 2019,28457303,1093270695134412800,39.8814519,-83.0929644
Wed Feb 06 19:58:32 +0000 2019,28457303,1093237527916380160,39.8814519,-83.0929644
Wed Feb 06 15:34:44 +0000 2019,28457303,1093171141798092800,39.8814519,-83.0929644
Tue Feb 05 21:29:05 +0000 2019,71721845,1092897926953656320,39.8814519,-83.0929644
Tue Feb 05 18:06:22 +0000 2019,21196047,1092846912460414976,39.8814519,-83.0929644
Sat Feb 02 18:44:21 +0000 2019,23473569,1091769305060892672,39.8814519,-83.0929644
Sat Feb 09 02:43:25 +0000 2019,56939693,1094064193546932224,39.92805556,-83.065
Fri Feb 01 13:10:22 +0000 2019,930775286,1091322870637178880,40.15695,-83.04576
Mon Feb 04 18:46:42 +0000 2019,998377844,1092494673069756418,39.8949,-83.21029
Fri Feb 08 22:54:54 +0000 2019,4218075194,1094006688749744128,40.09013929,-82.79581972
Fri Feb 08 22:49:29 +0000 2019,4218075194,1094005325433319428,40.09013929,-82.79581972
Sun Feb 03 21:46:50 +0000 2019,46521706,1092177616801456130,40.09085894,-82.77859788
Fri Feb 01 19:39:42 +0000 2019,930775286,1091420848672649216,40.08993,-82.80279
Fri Feb 01 18:58:46 +0000 2019,930775286,1091410545067155456,40.08993,-82.80279
Sun Feb 10 00:48:49 +0000 2019,397736536,1094397743257260033,40.13033,-83.01583
Fri Feb 08 13:58:22 +0000 2019,930775286,1093871665501609984,40.13635,-83.0056
Fri Feb 08 12:36:32 +0000 2019,930775286,1093851070286233601,40.13635,-83.0056
Thu Feb 07 15:59:16 +0000 2019,17931271,1093539702198730754,40.128121,-83.017081
Tue Feb 05 16:23:27 +0000 2019,25587230,1092821010737377280,40.12722,-83.00519
Tue Feb 05 00:11:34 +0000 2019,268095481,1092576431412936704,40.13599,-83.00839
